No.	pageid	qid	deWikiTitle	HOV-String	Levenshtein	HovCodeinWD	HovCodeParsed	HOV_String_StatedAs	ZeroIsNotaSiedlung
648:	681946	Q1913759	Maxen	Maxen	0	11144			4
649:	685448	Q110653	Unkersdorf	Unkersdorf	0	10335			1
650:	687225	Q879866	Leutzsch	Leutzsch	0	4106			1
651:	688490	Q2795540	Puschwitz (Belgern-Schildau)	Puschwitz_(2)	17	None	30172	Puschwitz (2)	1
652:	689779	Q814083	Beerendorf	Beerendorf	0	30012			1
653:	697352	Q851418	Beutha	Beutha	0	22008			1
654:	705414	Q583468	Tettau (Brandenburg)	Tettau (Brandenburg)	0	None			1
655:	705442	Q2010321	Oberlosa	Oberlosa	0	20061			1
656:	717197	Q162591	Rohne (Oberlausitz)	Rohne	14	None	28095	Rohne	1
657:	733124	Q3952	Plauen	Plauen_(2)	4	None	20082	Plauen (2)	6
658:	738335	Q57921	Lößnitz (Erzgebirge)	Lößnitz_(1)	11	None	21047	Lößnitz (1)	4
659:	741930	Q355595	Adelwitz	Adelwitz	0	30001			1
660:	742600	Q1750755	Kössern	Kössern	0	None			1
661:	742799	Q1630590	Hosterwitz	Hosterwitz	0	8091			1
662:	743533	Q1300749	Ehrenzipfel	Ehrenzipfel	0	21116			1
663:	745983	Q46789	Pöhl	Pöhl	0	20083			1
664:	748722	Q8926	Kleinzschachwitz	Kleinzschachwitz	0	8253			1
665:	761725	Q160688	Doberschau	Doberschau	0	23068			1
666:	767489	Q1319247	Oberhermersdorf	Oberhermersdorf	0	14043			1
667:	767771	Q1587151	Harthau (Oberwiera)	Harthau_(3)	10	None	17035	Harthau (3)	1
668:	770538	Q1531909	Großdeuben	Großdeuben	0	4035			1
669:	778866	Q1815646	Leipziger Vorstadt	Leipziger Vorstadt	0	None			4
670:	782288	Q1789940	Schönbach (Sebnitz)	Schönbach_(5)	8	None	11222	Schönbach (5)	4
671:	785118	Q1416584	Leppersdorf (Wachau)	Leppersdorf	9	None	8109	Leppersdorf	1
672:	791161	Q1826037	Lindenau (Leipzig)	Lindenau_(3)	8	None	4108	Lindenau (3)	1
673:	803784	Q2246629	Schmorsdorf	Schmorsdorf	0	11220			4
